,Longitude,Latitude,Slope (%),aspect_sin,aspect_cos,Elevation (m),NDVI,Dist_Main_Road  (m),Dist_Near_Road (m),Dist_Tailing (m),Sand (%),Silt (%),Clay (%),pH,EC (µs/cm),TDS (mg/L),SOM (g/kg),Cu (mg/kg),Zn (mg/kg),Pb (mg/kg)
Longitude,1.0,-0.3669180068120973,-0.06734890779181699,0.018874109047414475,-0.32287087095460215,0.2676202899312434,-0.26764489941683856,0.9846359217206299,0.986416001002109,-0.9341081527679279,0.1489189161417596,-0.1645067730973934,0.0018916842773028448,-0.15199445789641017,-0.18817809264924765,-0.18822424781420555,0.12989137375192714,0.2397106126796208,-0.23076173340138123,-0.34470908422849794
Latitude,-0.3669180068120973,1.0,-0.0026243015356816344,0.04435344300612675,0.4141702700113464,0.3398793974231169,0.2738760976564116,-0.5220057932388706,-0.36392727459249036,0.3580562456287582,0.017185817080021096,0.05125686776410928,-0.21657120688195067,-0.10696225443683166,0.19618380195783042,0.19624276766282786,-0.04177431582576943,0.07766463049048064,-0.014567419782179052,0.11116863068120475
Slope (%),-0.06734890779181699,-0.0026243015356816344,1.0,-0.02752809819985833,0.06086974293382351,-0.09185469907201047,0.13063592013321093,-0.05663040743239078,-0.09158617149276838,0.039305338432016584,0.025032748744383635,-0.04942729267709367,0.06661434105702113,0.0943276021428532,-0.04253682795768147,-0.04249080937244266,0.2529380833821597,0.004354673517048099,-0.005441705796633875,-0.15682068797233303
aspect_sin,0.018874109047414475,0.04435344300612675,-0.02752809819985833,1.0,-0.14113060009062112,-0.0021020414997423155,-0.018740101765825704,0.0068024437832082,0.06519762295431374,0.0813834725100838,-0.03574441140347982,0.005354541072274365,0.09992885853146663,-0.004671708148738289,-0.17899809699920396,-0.17900876486801442,0.12431211514936143,0.11016580882695354,0.11935107368051127,-0.046765722790986
aspect_cos,-0.32287087095460215,0.4141702700113464,0.06086974293382351,-0.14113060009062112,1.0,0.15966824060811774,0.37963149130665447,-0.3691340730666928,-0.34399277996633215,0.27363807665945894,0.07002796538791373,-0.040766344585053044,-0.11373075750156653,0.09291745772178368,-0.045285095765503276,-0.045248431721513015,-0.13441719882470887,0.005194069750973376,0.02097287333650667,0.15639879161785572
Elevation (m),0.2676202899312434,0.3398793974231169,-0.09185469907201047,-0.0021020414997423155,0.15966824060811774,1.0,0.02807762973929516,0.1692295256685344,0.2972333087067371,-0.24404139106714337,0.1559514118523914,-0.11579042077384381,-0.16962686119652476,-0.18298179697043243,-0.15677050316370694,-0.15678620051198752,0.018529559617479336,0.26128711022685036,-0.053296543779913184,0.006416593487565705
NDVI,-0.26764489941683856,0.2738760976564116,0.13063592013321093,-0.018740101765825704,0.37963149130665447,0.02807762973929516,1.0,-0.29109343099050006,-0.2968792919480301,0.21485697403905257,0.22588749800953029,-0.16115477720882015,-0.2701084984286878,0.04963819018617142,0.10785040268798561,0.10793933272337569,-0.021644332843955092,-0.13475356970786442,0.0734603897756844,0.36735443668835693
Dist_Main_Road  (m),0.9846359217206299,-0.5220057932388706,-0.05663040743239078,0.0068024437832082,-0.3691340730666928,0.1692295256685344,-0.29109343099050006,1.0,0.9693745187542868,-0.9261309136921786,0.13323132890474815,-0.15909769293698867,0.03846076075002655,-0.11509830554199443,-0.2055089607493555,-0.20556152988095783,0.12489311064640675,0.20636942524981589,-0.21213466053574584,-0.34057511003170793
Dist_Near_Road (m),0.986416001002109,-0.36392727459249036,-0.09158617149276838,0.06519762295431374,-0.34399277996633215,0.2972333087067371,-0.2968792919480301,0.9693745187542868,1.0,-0.8700019348698571,0.14915843821883498,-0.17359559075157896,0.02916780886219566,-0.1464753091556044,-0.2256995854963599,-0.22574849625380217,0.12024391372368545,0.21340470776364526,-0.22785583933671383,-0.36272314110132065
Dist_Tailing (m),-0.9341081527679279,0.3580562456287582,0.039305338432016584,0.0813834725100838,0.27363807665945894,-0.24404139106714337,0.21485697403905257,-0.9261309136921786,-0.8700019348698571,1.0,-0.11267383621414782,0.1123290530719922,0.03534759951028597,0.17499553506716956,0.11042430315109694,0.11047510351623463,-0.11779481777919192,-0.2825904037288745,0.21172590479574613,0.27557637912381683
